"M_T","lia_080314_049_pos","lia_080314_050_pos","lia_080314_051_pos","lia_080314_052_pos","lia_080314_053_pos","lia_080314_054_pos","lia_080314_055_pos","lia_080314_056_pos","lia_080314_057_pos","lia_080314_058_pos","lia_080314_059_pos"
"182.1292_3.395",0.872485759,1.351159875,1.84607981,1.339050014,2.424297306,0.690019649,1.154535283,1.183538707,1.010621984,0.540560224,0.619049273
"340.1026_3.1256",0.635756355,1.176529917,1.34454385,0.022029639,0.049339872,0.55947954,1.428794943,0.340741096,1.253155252,1.409407458,1.427473553
"188.0747_2.7373",0.719812329,1.19922039,0.844950281,0.515040869,0.270501706,0.622203097,0.436494853,1.476800597,1.411376264,1.339054518,0.897523171
"99.0807_3.5617",0.356699489,0.599637454,0.293744951,0.263325028,0.488221374,0.68245692,0.52437155,0.333641324,0.300897008,0.388702219,0.338605152
"134.0281_2.8942",0.339109004,0.852302031,0.617640605,0.880598807,0.758909612,0.953680316,0.971936073,0.460094024,0.569899477,0.260795553,0.364647452
"158.118_0.4737",0.256336028,0.561401118,0.462244297,0.848334172,1.483748945,0.974083298,1.789146651,1.2533726,1.163258389,0.826101279,0.576427425
"174.1246_1.0296",0.548275236,0.962336105,0.735767432,0.070442554,2.028127284,0.876994572,1.01592384,1.249806029,0.895846563,0.754286437,0.401589123
"162.0556_2.8152",0.798567756,1.055619463,1.261562092,0.024568247,0.066895566,0.661308442,0.146238624,0.45399748,1.235204874,1.032482367,0.861353486
"146.0608_3.1942",0.119145301,0.36985689,0.587883865,0.392243718,0.220647786,0.167100432,0.150772042,0.508167658,0.484727579,0.371697142,0.325650308
"441.0756_2.997",0.07993369,0.1019463,0.104936517,0.122114614,0.137647572,0.067686644,0.092303819,0.167199219,0.14213285,0.050885243,0.11111076
"125.0968_4.5104",0.301442227,0.459005043,0.493958389,0.179426336,0.212368804,0.294375119,0.321443757,0.221098254,0.196706817,0.361762972,0.247340279
"147.0452_2.7662",0.103278026,0.240684203,0.238560087,0.573556528,1.219053589,0.414596376,0.788495823,0.345333839,0.180910648,0.109074657,0.148914404
"216.124_3.3536",0.303946036,0.468177729,0.460823035,0.242329073,0.361080324,0.422429255,0.365362524,0.382676472,0.315829452,0.389092178,0.304912453
"233.093_3.4265",0.36637761,0.55044296,0.700824332,0.414410169,0.588788128,0.233480612,0.36860734,0.592380468,0.625784346,0.425775066,0.412965264
"226.1448_3.7161",0.49390658,0.913245196,0.394108495,0.790010048,0.548557956,0.705986557,0.749110473,0.548238406,0.388907153,0.577394466,0.296025929
"144.1025_0.408",0,0.388624779,0,0,2.245803573,1.36185509,1.793502909,1.057628292,1.457033236,0.625915024,0
"200.1291_4.1207",0.178834141,0.321905411,0.25451313,0.103242273,0.190204036,0.442892762,0.261563852,0.192273679,0.139327274,0.212433471,0.193362813
"135.0563_2.2992",0.56197418,0.86037345,1.078722959,0.737953396,0.127132375,0.471006095,0.225770178,0.214542853,0.602063548,0.209244351,0.594336242
"270.1704_4.5937",0.457066223,0.775240562,0.920227302,0.733785216,1.196101482,0.368664941,0.697922572,0.831734981,0.814250039,0.45365627,0.467618415
"267.1344_1.2089",1.487434316,2.458478942,2.108876156,1.108901695,0.039405961,0.573435823,0.999339848,0.233700141,0.169510699,0.019572754,0.061653124
"230.1395_3.7018",0.40276139,0.839555677,0.2423576,0.381526843,0.280123285,0.4086265,0.478804267,0.357994127,0.296741734,0.430828512,0.150496266
"377.1466_3.1364",0.287782558,0.777658444,0.52137628,0.228837971,0.23938991,0.240883908,0.212181113,0.252010629,0.142780134,0.159646508,0.093102485
"231.1423_5.2502",0.459167459,0.527989642,0.699009106,0.269995333,0.28456101,0.299710216,0.34280919,0.390766959,0.394924644,0.50341437,0.464906201
"220.0645_3.9581",0.772979811,1.344852119,0.660974138,0.362332235,0.469687472,0.429884219,0.686994629,0.536708576,0.859445541,0.751351948,0.360916974
"447.0908_3.9671",0.296915733,0.44157285,0.585265751,0.392573585,1.929534299,0.643699965,1.127862524,0.920838791,0.734227823,0.422619779,0.481353139
"220.1187_1.9713",0.252701413,1.403908955,0.415928608,0.493552393,1.020856876,0.45262555,0.655531105,0.657523589,0.611250074,0.470278509,0.44924388
"335.0232_4.3072",0.202139202,0.321589205,0.177159072,0.58030892,0.644582873,0.091936682,0.731924138,0.276102717,0.124170221,0.114685442,0.068485755
"120.0451_1.9317",0.342133212,0.56217255,0.53389336,0.506230229,0.684452995,0.410346309,0.573718857,0.690719822,0.618329355,0.502516929,0.447508884
"181.0621_2.2989",0.450397582,0.742862205,0.946695192,0.630346847,0.173849955,0.40182403,0.208039311,0.205693166,0.526286451,0.580697546,0.491224774
"90.055_0.3241",0.11878364,0.256273681,0.319858771,0.200033139,0.330634404,0.223539676,0.338482769,0.387440244,0.300572346,0.286527528,0.55565326
"172.0982_1.7918",0.26288357,0.571707782,0.225511904,0.209260292,0.158506616,0.35255041,0.160814188,0.179183735,0.154345478,0.275122552,0.174792519
"76.0396_3.4083",0.271241055,0.471323429,0.311625425,0.207940825,0.306771327,0.345839466,0.293060943,0.335898067,0.292108654,0.292923573,0.252641566
"110.01_0.2267",0.001916314,0.501234837,0.070070714,0,0,0,0,0.009264744,0.008835318,0,0.006902094
"206.0821_4.1193",0.405019728,0.900425242,0.527856737,0.005774952,0.01561446,0.004811035,0,0.726994569,0.858206106,0.512595331,0.429451669
"250.179_5.7367",0.409034004,0.600896824,0.685195436,0.603001333,0.566527924,0.494981555,0.517977025,0.576944095,0.514224924,0.44590516,0.655476287
"83.0856_3.424",0.533605861,0.724170642,0.615451363,0.07100348,0.208017838,0.518825629,0.582780098,0.935978993,0.721878388,0.278635748,0.288451307
"435.127_4.9185",0.63978536,0.814444596,0.464922254,0.676253076,0.85042089,0.034896612,0.51432381,0.19662448,0.076804175,0.042455711,0.095664721
"316.2127_3.793",0.576204978,0.853964836,0.665317714,0.497021317,0.296410127,0.280827752,0.474640087,0.604235669,0.440471353,0.628301077,0.262339544
"382.0771_2.0059",0.246420617,0.593392395,0.294547839,0.182241605,0.248213306,0.372423424,0.225529614,0.245002628,0.222861565,0.237978479,0.164039966
"136.0406_1.1056",0.330126385,0.572953523,0.538256884,0.009005216,0.042115012,0.564469199,0.542760704,0.374502557,0.206301724,0.114156593,0.11102551
"226.1446_3.8968",0.303787297,0.53824724,0.241342769,0.733906826,0.43575167,0.775841784,0.704818738,0.322764323,0.241159066,0.302469564,0.058050522
"138.0565_0.3213",0.342823805,0.539659261,0.61477564,0.520432749,0.203629999,0.168783335,0.368618529,0.417893762,0.387671801,0.275079817,0.438423443
"252.1601_4.5941",0.32828044,0.517582118,0.57425471,0.473051999,0.7613085,0.26062849,0.47836976,0.516262316,0.502320624,0.306695014,0.302367582
"180.1283_3.5456",0.140880981,0,0,0.080992215,0,0.086651776,0,0,0.111422615,0.147652142,0
"76.0397_2.2925",0.399588263,0.755120622,0.342903165,0.356127088,0.73747362,0.40619072,0.48813218,0.489377456,0.214277401,0.395165929,0.388711636
"276.1279_3.1955",0.170471747,0.263341965,0.18848678,0.06818973,0.086730854,0.211700307,0.197497389,0.122443957,0.097417196,0.181931171,0.104581241
"461.1072_3.4627",0.205801636,0.346986507,0.385371473,0.332442034,0.774940516,0.345973803,0.755762345,0.535425861,0.347284982,0.206014277,0.193099169
"95.0859_4.4922",0.245096708,0.435780292,0.212710571,0.114282935,0.199478578,0.171601459,0.184064971,0.186932164,0.17038055,0.230952088,0.183644312
"186.1134_3.422",0.444920295,0.627553496,0.500276772,0.066126921,0.173190586,0.446760486,0.506189393,0.766368688,0.585370983,0.228275792,0.223225576
"268.1554_5.7337",0.203656216,0.243262914,0.258667205,0.218502647,0.11959952,0.15928084,0.192753245,0.448038594,0.456878051,0.445784076,0.342217227
"88.0222_2.8947",0.169897344,0.395540412,0.3052472,0.433363077,0.427507391,0.482418833,0.464051544,0.23562317,0.272908631,0.137158852,0.18660596
"186.113_4.0183",0.220449736,0.343249284,0.194241644,0.123621057,0.139669058,0.20264511,0.194480084,0.163165447,0.103001803,0.240425073,0.16097886
"158.1198_0.3423",0.395804729,0.362813139,0.62088956,0.491898498,0.452305296,0.318216241,0.377435477,0.468966654,0.402816602,0.372959613,0.490530145
"215.0175_0.5199",0.067172447,0.077031484,0.009435185,0,0.108103946,0.021563299,0.026844323,0.865018813,0.292815153,0.235624478,0.329232387
"162.056_2.6254",0.131561248,0.2874172,0.406894867,0.163943871,0.137235466,0.011632696,0,0,0,0.256101795,0.292923775
"436.1592_4.4623",0.103579138,0.229368952,0.254695152,0,0,0,0,0.72108574,0.791905484,0.461592565,0.420580931
"181.0868_5.7269",0.431131345,0.61637454,0.522919721,0.433437563,0.491711257,0.37550727,0.436511637,0.160314275,0,0,0.028763985
"158.1545_5.7089",0.228656666,0.312757258,0.38759313,0.318108783,0.328044646,0.262978649,0.303405192,0.330201981,0.300492711,0.247638431,0.412951055
"97.1004_4.5211",0.176716541,0.288202263,0.241335288,0.111495027,0.12379432,0.154243941,0.188331717,0.126227443,0.110605853,0.208115428,0.081277992
"113.9655_3.2395",0.042032896,0.079225842,0.093142535,0.021596404,0.076510638,0.049316431,0.064480457,0.064465265,0.041330178,0.066261038,0.022995401
