"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"172.0976_2.9571",0.214804759,0.705814255,0.368027681,0.644871825,0.416296614,0.400927925,0.438874451,0.348239095,0.492019249,0.392478208
"153.0662_1.1458",0.828318784,0.617933059,0.046647048,0.491910756,1.057084268,0.103776545,1.085861095,0.900600176,0.700143985,0.676493313
"77.0389_2.6184",2.371492315,1.071372759,0.061235948,0.225911178,0.665224163,0.412050053,0.943370476,0.704895382,1.797246286,0.396736422
"130.0657_3.4341",0.932216767,0.547775522,0.241970943,0.899947544,1.429931752,0.774329786,0.57074333,0.360527078,0.794859165,0.225272872
"103.0545_4.1297",1.964193068,1.099041767,0.012285049,0.038184837,0.110041158,0.061768914,0.947306132,0.454922051,1.552090389,0.315611635
"127.0398_1.8419",0.663896299,0.361494481,0.439808421,0.76327312,2.344437322,1.924906287,0.451753354,0.090016204,0.503343864,0.05506513
"182.1292_3.395",2.403605424,0.849817053,0.336640681,0.986738146,3.929643154,2.467976555,0.724296663,0.228644614,1.107844345,0.056801933
"340.1026_3.1256",1.567301773,0.693214895,0.269222413,0.032566079,4.875047495,0.800220058,0.33081298,0.577169446,1.559187811,0.379199721
"188.0747_2.7373",0.737362337,0.661623529,0.241396593,0.456884104,0.525061563,0.725845926,1.089444668,0.638316003,1.691185177,0.35442852
"99.0807_3.5617",0.119015296,0.474820096,0.388465477,0.481698931,0.165562069,0.254947119,0.520050407,0.247408043,0.26379107,0.303800072
"134.0281_2.8942",0.689439981,0.633436557,0.218683987,0.83663062,0.406835262,1.080327409,0.404689322,0.184693105,0.691632762,0.152568748
"158.118_0.4737",0.354975348,1.073052821,0.168431661,1.218765604,4.058200951,0.939586576,0.915249186,0.326021416,1.219875623,0.208118137
"174.1246_1.0296",0.733660621,1.438022529,0.051330038,0.969564614,1.492042544,1.020282143,0.768106545,0.048525848,0.798877958,0.098870425
"162.0556_2.8152",1.537317085,0.834256003,0.082164199,0,1.754793762,0.195899644,0.606324589,0.458554092,1.226428365,0.378964665
"146.0608_3.1942",0.130780807,0.131188727,0.106182535,0.396503644,0.165707093,0.220237796,0.699682254,0.181643969,0.564904586,0.121985353
"441.0756_2.997",0.070853526,0.08584697,0.126612803,0.194888139,0.101049682,0.09356226,0.141174666,0.124697118,0.099868329,0.170298064
"125.0968_4.5104",0.068135777,0.341853912,0.212880264,0.245817478,0.104338822,0.16004192,0.275067148,0.230141878,0.163344906,0.388246112
"147.0452_2.7662",0.292653922,0.162120464,0.257864497,0.507966666,1.389000235,0.969913567,0.222815998,0.039718783,0.206545163,0.016388626
"216.124_3.3536",0.251764037,0.468217164,0.210365604,0.346825321,0.396088998,0.328974011,0.409027607,0.229230058,0.34181298,0.230673718
"233.093_3.4265",0.595926271,0.40517167,0.153601836,0.639959693,1.026301516,0.565665947,0.401180697,0.193246181,0.541286772,0.128127278
"226.1448_3.7161",0.296197783,0.601590636,0.194645216,0.413729452,1.011337961,0.573054203,0.275570871,0.196495969,0.699232237,0.150283482
"144.1025_0.408",1.375799144,0.509658697,0,1.593666685,2.333540234,1.878894941,1.295770303,0,1.450756158,0
"200.1291_4.1207",0.048324888,0.322246546,0.245100823,0.230093249,0.084998448,0.142420553,0.324696852,0.120374227,0.094288908,0.151322734
"135.0563_2.2992",0.720627003,0.711082434,0.357723813,0.751548899,0.477804108,1.006405107,0.584950386,0.449072687,0.748930769,0.366509963
"270.1704_4.5937",1.135048172,0.585144178,0.186519358,0.552923935,1.980981579,1.092556102,0.584373459,0.210500917,0.906172886,0.119249562
"267.1344_1.2089",3.001957411,2.314052093,0.010901879,0.694476241,0,0.964581555,0.172668629,0.020190847,0.283562967,0.0239398
"230.1395_3.7018",0.14266734,0.617578895,0.091435529,0.358102493,0.481299181,0.287062604,0.206865959,0.095907477,0.466596884,0.089694536
"377.1466_3.1364",0.059098539,0.144558392,0.073280072,0.147810992,0.385948934,0.360993273,0.203936005,0.175245988,0.172239773,0.13250302
"231.1423_5.2502",0.092519219,0.470036678,0.397017256,0.32440437,0.127397606,0.25485508,0.47679305,0.405875525,0.270530898,0.578713286
"220.0645_3.9581",0.382123896,0.734840151,0.163965935,0.440426211,0.925742014,0.788997523,0.515778355,0.272979645,0.708932284,0.164799277
"447.0908_3.9671",1.043570801,0.303945158,0.115030094,0.445514999,1.797056597,1.70486512,0.545618227,0,0.863112351,0.018160252
"220.1187_1.9713",0.872257915,0.905657537,0.154853788,0.344195303,1.12291057,0.675849691,0.402963769,0.120621866,0.365686558,0.21524164
"335.0232_4.3072",0.420169747,0.223315455,0.002701807,0.473035553,0.727326254,0.705839902,0.203735562,0,0.277997755,0
"120.0451_1.9317",0.391392656,0.41978976,0.211875691,0.459440215,0.148452161,0.671341851,0.512492832,0.320776546,0.677338455,0.270493944
"181.0621_2.2989",0.64552979,0.607452039,0.287775827,0.635417099,0.327283907,0.896399167,0.513156909,0.34880803,0.653926672,0.285976081
"90.055_0.3241",0.171860119,0.229880758,0.288957868,0.365467986,0.221346923,0.255424051,0.492830239,0.338137957,0.167820758,0.271590872
"172.0982_1.7918",0.18929528,0.513722721,0.150550472,0.322608964,0.160741478,0.139268203,0.282706644,0.19373511,0.379019386,0.300485347
