"mz","rt","t.score","p.value","mode"
318.29956,835.44,4.4465,3e-04,"positive"
318.30063,831,-2.9809,0.0099,"positive"
318.30524,843.9,6.2581,0,"positive"
318.311,828.36,-2.4216,0.0296,"positive"
319.1694,988.08,2.4266,0.0242,"positive"
319.17584,981.48,1.7452,0.0913,"positive"
319.1759,984.18,2.1444,0.0401,"positive"
319.28619,1233.42,-0.5859,0.5647,"positive"
319.28677,1236.9,1.2254,0.2294,"positive"
320.27411,1196.46,1.3419,0.1903,"positive"
320.28561,1193.94,1.0333,0.3102,"positive"
320.86572,1634.46,4.2596,3e-04,"positive"
320.86676,1632.6,4.7293,1e-04,"positive"
321.11057,1025.34,1.3097,0.1998,"positive"
321.11099,1031.34,2.7692,0.0116,"positive"
321.11154,1028.82,1.4845,0.1481,"positive"
321.12939,401.4,0.8507,0.4038,"positive"
321.13123,394.02,-1.0192,0.3236,"positive"
321.13358,397.86,0.809,0.4267,"positive"
323.09055,506.76,2.2784,0.0297,"positive"
324.103,911.7,2.3464,0.03,"positive"
325.17484,1236,-5e-04,0.9996,"positive"
325.17853,1233.48,-0.7458,0.464,"positive"
325.20331,1051.8,2.8523,0.0076,"positive"
325.20419,1049.1,0.6034,0.5508,"positive"
326.15164,1004.1,1.5669,0.127,"positive"
326.15228,1008.12,4.0115,7e-04,"positive"
326.81686,1647,6.8193,0,"positive"
326.81915,1644.3,11.9944,0,"positive"
327.01471,79.32,0.4937,0.6251,"positive"
327.04755,75.18,-2.3274,0.0306,"positive"
327.04999,72.96,-2.4108,0.0256,"positive"
328.10223,329.46,-1.4597,0.1595,"positive"
328.10489,333.3,-1.2486,0.2322,"positive"
328.11322,615.54,-1.2193,0.2429,"positive"
328.11401,618.3,-1.4877,0.159,"positive"
329.1557,1230.96,2.5489,0.016,"positive"
329.16119,1219.5,-0.0256,0.9798,"positive"
329.16141,1225.2,3.2537,0.0034,"positive"
329.16516,1222.02,1.2141,0.2355,"positive"
329.20618,1103.22,3.5576,0.0012,"positive"
329.20923,1099.14,1.045,0.3047,"positive"
330.13052,644.34,-1.5111,0.153,"positive"
330.2973,1340.76,-0.635,0.5301,"positive"
330.33252,1050.84,6.1425,0,"positive"
330.336,1041.9,-3.3609,0.0047,"positive"
330.33701,1053.66,6.1499,0,"positive"
330.3381,1044.96,-3.6037,0.0029,"positive"
331.14297,374.7,1.033,0.3153,"positive"
331.14905,1281.06,-1.2751,0.2174,"positive"
331.27994,1342.74,-1.8663,0.0749,"positive"
331.28128,1285.14,1.1725,0.2546,"positive"
331.28244,1348.26,-3.1637,0.0064,"positive"
331.28259,1306.8,2.9115,0.0066,"positive"
331.28384,1311.36,2.8889,0.0087,"positive"
331.28485,1299.6,-0.4401,0.6658,"positive"
331.28497,1289.64,4.4002,1e-04,"positive"
331.28574,1363.8,0.5042,0.6177,"positive"
331.28653,1314.24,1.3542,0.1887,"positive"
331.28714,1303.68,1.0837,0.2867,"positive"
331.28824,1351.74,-2.1057,0.0532,"positive"
331.31281,1308,1.7129,0.0965,"positive"
332.3129,1304.1,1.8113,0.0796,"positive"
332.32544,1113,-0.3752,0.71,"positive"
332.3291,1109.52,-2.2378,0.0414,"positive"
332.3299,1121.34,4.9341,1e-04,"positive"
332.332,1117.92,4.1447,6e-04,"positive"
333.1106,385.74,-1.0038,0.3325,"positive"
333.14093,882.18,0.4796,0.6348,"positive"
333.14349,607.14,-0.171,0.8655,"positive"
333.14401,894.24,2.404,0.026,"positive"
333.14441,889.86,2.2213,0.0347,"positive"
333.14456,605.34,-1.0021,0.3281,"positive"
333.14804,885.42,2.179,0.0369,"positive"
333.15512,1359.84,4.0586,5e-04,"positive"
333.15533,1355.28,1.5716,0.1271,"positive"
333.15857,1351.68,2.6359,0.0152,"positive"
333.16309,1361.58,3.9161,9e-04,"positive"
334.69019,880.08,0.3918,0.6978,"positive"
334.69058,865.98,-0.2675,0.7912,"positive"
334.69086,924.6,0.5604,0.5797,"positive"
334.69141,940.5,1.2926,0.2056,"positive"
334.69156,1053.66,0.4268,0.673,"positive"
334.69165,963.24,1.2282,0.2287,"positive"
334.69183,872.22,1.5213,0.1391,"positive"
334.69193,1128.84,0.729,0.4723,"positive"
334.69214,577.56,0.1747,0.8627,"positive"
334.69235,958.8,-0.2197,0.8279,"positive"
334.69235,644.52,0.7784,0.4442,"positive"
334.69238,1027.8,-0.8396,0.4113,"positive"
334.69403,928.98,0.7999,0.4308,"positive"
334.69431,986.7,1.1018,0.2788,"positive"
334.69504,59.4,-1.9916,0.056,"positive"
334.69601,600.36,0.7602,0.4527,"positive"
334.69867,1618.92,0.2415,0.8116,"positive"
335.10623,405.78,-1.2929,0.2155,"positive"
335.10846,399.54,-0.3088,0.7613,"positive"
335.11035,402,-1.3266,0.205,"positive"
335.27798,1108.14,2.6908,0.0133,"positive"
335.27859,1100.28,-0.3241,0.7492,"positive"
335.28647,1103.4,1.6321,0.1132,"positive"
336.19922,980.64,1.2934,0.2051,"positive"
336.20041,983.34,1.7098,0.0971,"positive"
336.30853,1233.3,0.3053,0.7622,"positive"
336.31604,1236.3,1.1025,0.2792,"positive"
336.323,1329.3,0.4154,0.6806,"positive"
336.32397,1209.24,-0.5219,0.6092,"positive"
336.32516,1230,0.2224,0.8258,"positive"
336.32587,1226.76,0.0288,0.9772,"positive"
336.33057,1322.76,-1.3719,0.1914,"positive"
336.33252,1326,-0.9589,0.3524,"positive"
336.68454,11.82,-0.1181,0.9069,"positive"
336.68518,490.62,0.9586,0.345,"positive"
336.68604,892.2,1.343,0.1894,"positive"
336.6875,1092.3,2.2326,0.0346,"positive"
336.68762,642.42,0.8081,0.4253,"positive"
336.6879,954.3,-0.0692,0.9454,"positive"
336.68796,1030.02,2.5171,0.0172,"positive"
336.68811,952.2,-0.0194,0.9847,"positive"
336.68817,428.88,1.4686,0.1526,"positive"
336.68826,875.64,1.6902,0.1013,"positive"
336.68832,1119.9,2.0661,0.047,"positive"
336.68835,916.32,-1.6449,0.1154,"positive"
336.68863,1211.64,1.297,0.2055,"positive"
336.68909,959.82,-0.1359,0.8931,"positive"
336.68909,571.38,0.2115,0.8341,"positive"
336.6893,62.52,1.5285,0.1366,"positive"
336.68942,1126.8,0.6835,0.5001,"positive"
336.68982,865.68,-1.4198,0.1738,"positive"
336.68985,588.6,0.1282,0.8989,"positive"
336.68985,888.72,0.6769,0.5061,"positive"
336.68997,59.4,0.0054,0.9957,"positive"
336.69003,56.64,-0.0236,0.9813,"positive"
336.69006,1099.2,1.5086,0.1415,"positive"
336.69037,654.84,3.341,0.0027,"positive"
336.6904,635.52,2.6847,0.0115,"positive"
336.6904,906.66,0.1232,0.9031,"positive"
336.69049,1662.9,6.0969,0,"positive"
336.69052,988.08,0.9464,0.3517,"positive"
336.69107,384.36,1.8819,0.0701,"positive"
336.69116,1618.86,0.4849,0.6333,"positive"
336.69138,1184.4,0.238,0.8137,"positive"
336.69153,899.76,3.5809,0.0012,"positive"
336.69162,869.7,0.743,0.4654,"positive"
336.69177,1129.56,0.5768,0.5688,"positive"
336.69208,930.6,0.981,0.3355,"positive"
336.69217,880.62,1.3297,0.1931,"positive"
336.69229,580.32,1.7596,0.0881,"positive"
336.69348,1047.42,2.5098,0.0175,"positive"
336.694,1108.86,2.0765,0.0466,"positive"
336.69403,940.14,1.4403,0.1596,"positive"
336.6944,1116.42,0.9539,0.3497,"positive"
336.69598,345.72,1.0878,0.2862,"positive"
336.69687,963.24,-0.3131,0.7574,"positive"
336.84396,1643.58,12.5929,0,"positive"
336.84567,1649.94,-6.4205,0,"positive"
337.10394,572.4,2.6073,0.0158,"positive"
337.10571,557.82,2.1417,0.0418,"positive"
337.10815,561.78,4.1846,5e-04,"positive"
337.1127,566.1,4.2595,4e-04,"positive"
337.2077,1203.72,2.8736,0.0072,"positive"
337.21173,1215.78,1.7448,0.0906,"positive"
337.21243,1190.1,0.513,0.6117,"positive"
337.21335,1193.7,0.2828,0.7805,"positive"
337.21487,1210.62,1.3897,0.1742,"positive"
338.14603,588.24,-3.0262,0.0091,"positive"
338.14865,584.46,-1.6428,0.1227,"positive"
338.1496,607.26,-1.6392,0.1234,"positive"
338.15262,576.9,-2.2504,0.041,"positive"
338.15295,568.08,-1.913,0.0764,"positive"
338.68365,1052.64,1.5691,0.1323,"positive"
338.68448,932.22,0.4061,0.6878,"positive"
338.68478,966.72,1.7883,0.0832,"positive"
338.68564,890.1,1.1675,0.2538,"positive"
338.68564,1046.76,0.7024,0.4894,"positive"
338.68573,1026.72,0.6038,0.5505,"positive"
338.68594,565.14,1.9126,0.0661,"positive"
338.68607,953.94,0.3384,0.7379,"positive"
338.6861,960.48,-0.8024,0.43,"positive"
338.68616,877.38,0.1734,0.864,"positive"
338.68631,578.28,-0.2905,0.7743,"positive"
338.68643,988.8,0.2698,0.7894,"positive"
338.68668,1618.86,0.3244,0.7492,"positive"
338.68674,866.34,-0.9143,0.3691,"positive"
338.68781,939.12,0.9621,0.3432,"positive"
338.68799,973.98,0.0751,0.9407,"positive"
338.68805,585.18,-1.0217,0.3173,"positive"
338.68866,872.52,1.861,0.0721,"positive"
338.68869,31.8,0.2128,0.8331,"positive"
338.68878,1130.94,0.9412,0.3557,"positive"
338.68893,1121.28,0.3902,0.6993,"positive"
338.69009,880.98,1.226,0.2301,"positive"
338.69019,60.78,0.696,0.4916,"positive"
338.69034,428.88,1.1915,0.2427,"positive"
338.69049,926.7,1.9314,0.0624,"positive"
338.69107,591.36,1.6573,0.1077,"positive"
338.69147,347.1,1.5962,0.1207,"positive"
338.69205,568.92,-0.0602,0.9526,"positive"
338.69464,1014.3,1.1137,0.2745,"positive"
338.84442,1643.7,10.6434,0,"positive"
339.28537,1322.34,-1.1907,0.2516,"positive"
340.14835,567.24,-1.8704,0.0825,"positive"
340.28131,1370.88,0.0242,0.9808,"positive"
340.28571,1368.72,0.1683,0.8675,"positive"
340.9313,74.22,-1.5586,0.1338,"positive"
341.20352,1199.7,3.5079,0.0016,"positive"
341.20865,1196.58,1.2199,0.2319,"positive"
341.20966,1194.12,0.343,0.7339,"positive"
341.30322,1392.24,0.8479,0.4051,"positive"
341.30542,1364.46,-1.8317,0.0874,"positive"
341.30576,1355.16,-1.3168,0.2087,"positive"
341.30658,1375.86,0.8302,0.4155,"positive"
341.30856,1406.88,1.7714,0.086,"positive"
341.30872,1371.72,-0.0469,0.963,"positive"
341.31277,1361.7,-1.9264,0.0743,"positive"
342.31207,1393.44,1.3575,0.1869,"positive"
342.87036,80.64,0.3182,0.7524,"positive"
343.07318,1064.34,3.4294,0.003,"positive"
343.07385,1089.54,0.1188,0.9068,"positive"
343.07477,1082.64,1.9924,0.0561,"positive"
343.07529,1051.56,1.365,0.1891,"positive"
343.07568,1113,1.7397,0.0919,"positive"
343.07657,1086.06,0.8942,0.3805,"positive"
343.07712,1078.5,4.3144,4e-04,"positive"
343.07712,1072.44,4.1748,6e-04,"positive"
343.07736,1121.52,-0.4609,0.6507,"positive"
343.07834,1103.34,-1.1783,0.2566,"positive"
343.08005,1069.5,5.1311,1e-04,"positive"
343.08142,1099.02,-1.282,0.2186,"positive"
343.11136,849,0.2028,0.8414,"positive"
343.11597,852.18,-0.75,0.4653,"positive"
343.11752,845.46,2.5501,0.0195,"positive"
343.12653,491.34,-1.0003,0.3341,"positive"
343.15359,1123.2,1.7547,0.0889,"positive"
343.15564,1119.18,1.8671,0.0711,"positive"
344.23157,425.1,0.2985,0.7674,"positive"
344.27499,879.24,0.7358,0.4686,"positive"
344.28012,874.62,-2.7393,0.0159,"positive"
344.28485,881.7,1.8932,0.0708,"positive"
344.86188,79.92,0.3575,0.7232,"positive"
345.06775,1077.48,3.7384,0.0014,"positive"
345.06995,1071.18,5.2008,1e-04,"positive"
345.07086,1080.24,2.9259,0.0078,"positive"
345.07492,1085.4,0.7771,0.4438,"positive"
345.13113,328.5,-1.4637,0.1636,"positive"
345.19998,934.2,2.3961,0.0226,"positive"
345.2041,938.22,1.9306,0.0625,"positive"
345.29816,1354.5,1.8208,0.0781,"positive"
346.12244,619.68,-1.564,0.1401,"positive"
346.32996,942.54,0.1951,0.8467,"positive"
346.33173,946.56,4.1797,5e-04,"positive"
346.33203,951.06,3.8907,0.001,"positive"
346.33508,939.24,-3.1181,0.0075,"positive"
346.70969,512.46,2.1185,0.042,"positive"
346.70981,514.74,3.0273,0.0049,"positive"
346.95135,73.98,0.4267,0.6727,"positive"
346.95361,76.62,-0.6678,0.5107,"positive"
347.1347,331.62,-1.0004,0.3341,"positive"
347.1561,328.5,-1.0023,0.3332,"positive"
347.16043,491.16,0.4512,0.6556,"positive"
347.16092,493.86,3.8904,8e-04,"positive"
347.16296,1052.28,4.7274,0,"positive"
347.16351,1049.16,2.8901,0.0069,"positive"
347.31506,1348.56,0.9987,0.3284,"positive"
348.07388,76.92,0.4104,0.6844,"positive"
348.08047,79.44,2.541,0.0182,"positive"
348.30786,1306.8,2.9133,0.0065,"positive"
348.30856,1299.6,-0.4733,0.6423,"positive"
348.30927,1303.74,1.2674,0.2142,"positive"
348.3103,1314,1.5172,0.145,"positive"
348.3154,1311,2.1563,0.0427,"positive"
348.76199,1626.6,-3.1338,0.0073,"positive"
348.7655,1621.86,2.0968,0.0457,"positive"
349.08752,416.82,-1.0525,0.31,"positive"
349.08859,412.32,4.3549,1e-04,"positive"
351.22318,1342.08,0.3892,0.6998,"positive"
351.22931,1344.96,1.2205,0.2358,"positive"
351.23047,1339.14,0.0807,0.9362,"positive"
352.30493,1100.82,0.729,0.4721,"positive"
352.31155,1104.24,2.6277,0.0135,"positive"
352.31415,1260.36,1.4698,0.1523,"positive"
352.31714,1257.54,1.4757,0.1498,"positive"
352.32596,1263.42,2.3623,0.0251,"positive"
352.81616,1644.24,20.9289,0,"positive"
352.81757,1650.96,-6.3061,0,"positive"
352.81851,1646.1,11.9463,0,"positive"
352.89633,75.96,1.1544,0.2572,"positive"
352.89917,80.1,0.2746,0.7855,"positive"
352.89981,72.96,-2.8146,0.0117,"positive"
352.91559,73.92,-1.3097,0.2016,"positive"
352.9176,78.06,0.2866,0.7765,"positive"
353.20248,971.94,-0.6091,0.5483,"positive"
353.20551,999.12,0.3575,0.7237,"positive"
353.21478,975,0.3773,0.7089,"positive"
353.26605,1313.28,2.2624,0.0333,"positive"
353.26959,1304.22,1.9385,0.0614,"positive"
353.27231,1307.88,2.878,0.0074,"positive"
354.33673,1324.38,-1.3118,0.2097,"positive"
354.34183,1328.16,-0.5471,0.5902,"positive"
354.81369,1644.06,44.7956,0,"positive"
354.81656,1648.92,-4.4386,3e-04,"positive"
354.81778,1652.28,-4.5912,4e-04,"positive"
354.89368,72.96,-2.0412,0.0559,"positive"
354.89413,76.5,2.1202,0.0424,"positive"
354.90039,80.4,-0.313,0.7565,"positive"
354.93643,376.5,1.5534,0.1302,"positive"
354.9425,379.44,2.6829,0.0115,"positive"
355.1207,607.92,-1.235,0.2371,"positive"
355.12079,603.42,-1.4987,0.1561,"positive"
355.14169,1257.18,-0.9211,0.3712,"positive"
355.14264,1247.28,-0.6135,0.5451,"positive"
355.27875,1151.76,1.3235,0.1952,"positive"
355.27896,1123.26,1.0101,0.3201,"positive"
355.28326,1251.78,-1.8386,0.0863,"positive"
355.2858,1124.88,1.3356,0.1911,"positive"
355.28839,1255.2,-1.4165,0.1758,"positive"
356.34796,1087.32,3.483,0.0018,"positive"
356.35867,1083.24,5.3288,0,"positive"
356.93185,379.62,3.4896,0.0015,"positive"
356.93704,377.04,3.3942,0.002,"positive"
357.11154,984.66,1.9072,0.0687,"positive"
357.12894,981.78,2.1479,0.04,"positive"
357.13135,977.76,-0.9998,0.3321,"positive"
357.13171,984.42,2.5977,0.0156,"positive"
357.13416,997.74,3.2137,0.0037,"positive"
357.15506,1315.32,-0.7985,0.4305,"positive"
357.15863,1306.02,0.6819,0.5025,"positive"
357.16171,1311.54,-0.488,0.6289,"positive"
357.16418,1301.28,-1.2972,0.2074,"positive"
357.17215,996.36,0.6147,0.544,"positive"
357.23819,1233.66,0.2511,0.8036,"positive"
357.24387,1236.9,1.3439,0.1903,"positive"
357.29791,1342.74,1.8317,0.0764,"positive"
357.30051,1321.56,-1.3988,0.1821,"positive"
357.30246,1334.22,-0.6486,0.5233,"positive"
357.30316,1327.02,-0.4859,0.6323,"positive"
357.30585,1336.86,2.3566,0.025,"positive"
357.31342,1323.9,-1.0355,0.314,"positive"
357.3147,1320,-1.4553,0.1654,"positive"
358.17419,337.02,-1.7617,0.0999,"positive"
358.17996,333,-1.4448,0.1705,"positive"
358.20444,421.44,-1.5781,0.1362,"positive"
358.20773,424.14,-1.5035,0.1539,"positive"
358.25385,1367.64,-1.2105,0.236,"positive"
358.29144,912.18,-1.5474,0.1377,"positive"
358.29648,916.32,1.6889,0.1035,"positive"
359.17154,1365.6,1.8633,0.0746,"positive"
359.17862,1368.78,1.6996,0.0997,"positive"
359.3129,1352.4,-1.2142,0.2448,"positive"
359.31458,1363.68,-1.6945,0.1116,"positive"
359.31458,1371.48,0.7568,0.4552,"positive"
359.31494,1374.66,1.7376,0.0923,"positive"
359.31522,1368.3,-0.7877,0.44,"positive"
359.31723,1392.42,1.409,0.1698,"positive"
359.31763,1355.88,-1.8125,0.0911,"positive"
359.3248,1361.7,-1.9582,0.0697,"positive"
360.70828,1621.44,1.3684,0.1854,"positive"
361.01108,77.46,-2.1651,0.0448,"positive"
361.0134,80.22,-1.7477,0.0979,"positive"
361.16223,615.6,2.6096,0.016,"positive"
361.16241,618.06,3.1685,0.0052,"positive"
361.21579,1190.94,0.5573,0.5827,"positive"
361.21689,1368.96,2.6527,0.0132,"positive"
361.21771,1372.44,2.2845,0.0292,"positive"
361.21893,1375.2,1.7403,0.0916,"positive"
361.21921,1217.16,0.4733,0.6394,"positive"
361.21964,1297.92,2.0033,0.0541,"positive"
361.22006,1177.14,2.116,0.043,"positive"
361.22086,1152.42,4.8375,1e-04,"positive"
361.22134,1280.64,1.4417,0.1599,"positive"
361.22202,1323.42,1.0528,0.3008,"positive"
361.22305,1149.54,3.3894,0.0023,"positive"
361.22366,1351.02,3.652,0.0011,"positive"
361.22437,1363.92,3.3981,0.0021,"positive"
361.22513,1181.46,2.1854,0.0372,"positive"
362.32288,841.26,0.904,0.373,"positive"
362.32315,844.56,8.4723,0,"positive"
362.3266,837.24,-2.8282,0.0134,"positive"
362.32709,847.32,4.7809,1e-04,"positive"
362.70554,1621.26,1.342,0.1947,"positive"
362.92511,74.22,-0.7229,0.4766,"positive"
362.92926,76.44,-1.1326,0.2684,"positive"
363.15576,1048.14,-0.0542,0.9571,"positive"
363.15854,1051.44,2.3894,0.0243,"positive"
363.16708,1054.32,2.7961,0.0095,"positive"
363.30423,1233.42,0.2798,0.7815,"positive"
363.30753,1236.24,0.5263,0.6024,"positive"
364.34711,1348.2,1.0614,0.3,"positive"
365.15765,415.44,1.435,0.1672,"positive"
365.15829,424.38,1.34,0.1908,"positive"
366.05869,329.16,-1.2123,0.2351,"positive"
366.05969,334.02,-1.2957,0.2159,"positive"
366.06012,325.74,-0.4781,0.6361,"positive"
367.12881,896.34,0.9425,0.3557,"positive"
367.13522,898.98,1.5227,0.1398,"positive"
368.27383,871.32,-2.2248,0.0418,"positive"
368.27625,875.4,1.0663,0.2956,"positive"
368.2793,868.74,-2.7209,0.0165,"positive"
368.29056,877.02,0.9114,0.3689,"positive"
368.86853,80.16,-0.7237,0.4758,"positive"
368.87109,77.22,1.7331,0.0927,"positive"
368.87329,70.08,-1.0472,0.303,"positive"
368.87387,72.12,-0.6379,0.5285,"positive"
369.16519,868.74,1.4885,0.1476,"positive"
369.16989,874.68,1.8559,0.0729,"positive"
369.1701,871.74,1.1987,0.2395,"positive"
369.17184,881.16,1.5532,0.1302,"positive"
369.1749,1041.12,1.4932,0.1462,"positive"
369.17627,1043.88,1.9382,0.0631,"positive"
369.21332,1307.22,0.679,0.5025,"positive"
369.23636,1355.88,-1.2482,0.2276,"positive"
369.23764,1299.3,0.9567,0.3459,"positive"
369.23868,1306.74,2.4494,0.02,"positive"
369.2388,1303.98,1.5994,0.1196,"positive"
369.23941,1314.24,1.3957,0.177,"positive"
369.23941,1352.88,-2.1292,0.0497,"positive"
369.24005,1363.44,-0.6136,0.5467,"positive"
369.24011,1311,2.2381,0.0368,"positive"
369.24121,1343.76,-2.1837,0.0429,"positive"
369.24158,1285.5,0.938,0.3595,"positive"
369.24188,1337.94,1.6931,0.1009,"positive"
369.24445,1348.26,-2.6471,0.018,"positive"
369.34225,1333.08,1.5441,0.1393,"positive"
369.34747,1362.78,2.857,0.008,"positive"
369.34872,1260.3,1.104,0.2816,"positive"
369.34875,1291.68,3.2102,0.0043,"positive"
369.34988,1368.3,2.927,0.0087,"positive"
369.35022,1246.86,1.3906,0.1807,"positive"
369.35062,1347.24,2.2944,0.0285,"positive"
369.3522,1620.36,1.9044,0.0659,"positive"
369.35303,1306.86,1.811,0.0795,"positive"
369.35315,1337.94,2.8403,0.0091,"positive"
369.35403,1282.74,3.446,0.0017,"positive"
369.35632,1318.62,0.9791,0.3351,"positive"
370.29172,925.98,-2.4947,0.0257,"positive"
370.29227,937.02,1.1768,0.248,"positive"
370.29254,931.68,1.5287,0.1383,"positive"
370.3284,1244.76,1.0326,0.3154,"positive"
370.7352,1625.82,-0.7159,0.4817,"positive"
370.74225,1622.76,1.3935,0.1793,"positive"
370.86966,71.52,-0.1133,0.9105,"positive"
370.87073,80.1,-0.1371,0.892,"positive"
371.09827,608.88,-0.2045,0.8395,"positive"
371.09845,49.74,0.477,0.6366,"positive"
371.10007,605.4,-0.7042,0.4872,"positive"
371.10095,886.5,2.5166,0.0192,"positive"
371.10098,58.02,0.0699,0.9449,"positive"
371.10132,63.72,-0.1864,0.8538,"positive"
371.10187,67.02,0.1475,0.884,"positive"
371.10211,883.68,1.8771,0.0698,"positive"
371.10245,622.5,-0.4239,0.6761,"positive"
371.1026,890.04,2.9867,0.0073,"positive"
371.242,1314.48,1.5672,0.1318,"positive"
371.32394,933.12,1.0129,0.3239,"positive"
372.19839,382.32,-1.2184,0.2432,"positive"
372.20123,741.78,-1.027,0.3218,"positive"
372.24292,932.88,-1.1987,0.2505,"positive"
372.24399,940.86,-0.632,0.5366,"positive"
372.30731,992.94,3.1558,0.0045,"positive"
372.30905,984.96,-3.5889,0.003,"positive"
372.31006,1256.52,-0.7399,0.4689,"positive"
372.31046,1252.08,-1.9349,0.0727,"positive"
372.31177,989.88,2.0613,0.0479,"positive"
372.73645,1625.7,-0.1377,0.8918,"positive"
372.73743,1622.88,1.5431,0.1389,"positive"
373.23111,1100.04,-0.0161,0.9873,"positive"
373.23764,1107.48,2.2025,0.0365,"positive"
373.23953,1103.58,1.8542,0.0736,"positive"
373.29745,1126.26,2.3281,0.0283,"positive"
373.29761,1151.82,1.4564,0.155,"positive"
373.30978,985.68,-3.0771,0.0081,"positive"
374.19315,385.74,-1.139,0.2738,"positive"
374.24463,1305,-1.0136,0.3213,"positive"
374.24734,1307.28,-1.3634,0.1882,"positive"
374.32816,1326.18,0.2787,0.7826,"positive"
374.32901,1335.66,1.3576,0.1841,"positive"
374.33203,1321.56,-1.6143,0.1259,"positive"
374.36392,1048.02,-3.2212,0.0061,"positive"
374.36456,1054.56,6.0542,0,"positive"
374.36539,1052.1,3.6843,9e-04,"positive"
374.80725,1639.92,-1.0036,0.3261,"positive"
374.80902,1647.72,-4.0598,0.0012,"positive"
374.80936,1632.72,7.7537,0,"positive"
374.81174,1635.36,9.6946,0,"positive"
375.15799,409.92,-1.0004,0.3341,"positive"
375.26175,543.06,-2.0089,0.0642,"positive"
376.10388,588.24,-2.9916,0.0097,"positive"
376.1041,576.9,-2.2557,0.0406,"positive"
376.10468,607.92,-2.0489,0.0597,"positive"
376.10739,568.8,-1.9589,0.0704,"positive"
376.10815,584.46,-1.6598,0.1192,"positive"
376.25772,939.12,1.3117,0.1993,"positive"
376.2598,1368.24,-1.1354,0.2662,"positive"
376.26102,929.04,0.776,0.4443,"positive"
376.26108,950.82,-0.139,0.8907,"positive"
376.26242,953.94,-0.1011,0.9202,"positive"
376.26385,919.8,-2.7561,0.0144,"positive"
376.33884,1364.28,-1.6262,0.1246,"positive"
376.34073,1370.46,0.1609,0.8734,"positive"
376.34195,1356.3,-2.0569,0.0585,"positive"
377.11087,573.42,-1.4113,0.18,"positive"
378.10779,585.18,-1.6168,0.1282,"positive"
378.11182,617.1,-2.7729,0.0149,"positive"
378.24762,1149.6,3.5461,0.0018,"positive"
378.24786,1152.6,3.6197,0.0015,"positive"
378.25046,1364.16,-1.931,0.0727,"positive"
378.25665,1368.06,-0.6061,0.5491,"positive"
378.26764,931.5,1.23,0.2277,"positive"
378.89838,76.5,-0.5396,0.5942,"positive"
378.89972,73.44,0.8441,0.4049,"positive"
379.11044,567.24,-1.9732,0.0685,"positive"
379.12732,331.26,-1.0007,0.334,"positive"
379.13266,425.1,-1.3934,0.1817,"positive"
379.13831,421.56,-1.3327,0.2032,"positive"
379.14325,332.64,-1.0051,0.3319,"positive"
379.25064,536.76,3.886,5e-04,"positive"
379.30292,1102.26,1.4486,0.1597,"positive"
379.30774,1099.56,1.4594,0.1556,"positive"
380.25186,941.88,1.7563,0.0894,"positive"
380.25574,949.14,-1.101,0.2841,"positive"
380.25601,938.4,1.5697,0.1282,"positive"
380.25806,945.9,0.0324,0.9744,"positive"
380.33301,1235.52,0.3411,0.7355,"positive"
380.34363,1232.76,-0.0094,0.9925,"positive"
380.76385,1634.1,-3.6409,0.0026,"positive"
380.76505,1626.9,3.0658,0.0056,"positive"
380.76562,1629.3,0.6109,0.5486,"positive"
380.89664,75.9,0.2017,0.8417,"positive"
380.89847,73.62,0.4643,0.6457,"positive"
381.11124,1119.36,1.843,0.0746,"positive"
381.11243,329.88,-1.0008,0.3339,"positive"
381.11462,1122.3,2.0481,0.0491,"positive"
381.11472,1114.38,2.5683,0.0154,"positive"
381.11746,1127.94,3.6155,0.0012,"positive"
381.15814,1292.4,1.2651,0.2164,"positive"
381.16422,1288.92,0.0977,0.9228,"positive"
382.7645,1631.28,-2.0135,0.0559,"positive"
382.76547,1627.38,2.1552,0.0425,"positive"
383.11667,78.06,-2.2421,0.0387,"positive"
383.25089,1351.26,0.2491,0.8051,"positive"
383.25882,1356.78,1.945,0.0614,"positive"
383.25885,1354.08,1.3087,0.2004,"positive"
384.08011,619.86,-1.5673,0.1394,"positive"
384.08096,685.2,-2.1178,0.0526,"positive"
384.25842,631.56,4.0459,7e-04,"positive"
384.26205,629.28,3.2848,0.0037,"positive"
385.1149,328.5,-1.0062,0.3314,"positive"
385.27365,1348.44,0.973,0.3408,"positive"
385.95035,866.7,-0.6133,0.5463,"positive"
385.95691,874.14,2.715,0.0116,"positive"
385.95697,870.72,0.4827,0.6332,"positive"
386.19492,1039.92,0.7417,0.4637,"positive"
386.20129,1042.86,0.9562,0.3472,"positive"
386.71713,1634.16,-1.7521,0.1016,"positive"
386.72098,1630.44,-2.3523,0.0338,"positive"
386.72198,1621.86,4.3545,1e-04,"positive"
386.72397,1626.18,-3.3253,0.0048,"positive"
387.17169,952.92,2.522,0.0169,"positive"
387.17639,913.56,0.8093,0.4245,"positive"
387.17697,960.24,0.6389,0.5276,"positive"
387.17807,973.26,1.1432,0.2614,"positive"
387.1781,829.08,5.6713,0,"positive"
387.17926,831.48,5.0515,1e-04,"positive"
387.17929,906.24,0.9007,0.3746,"positive"
387.1795,856.68,1.273,0.2122,"positive"
387.1796,909.42,2.0472,0.0508,"positive"
387.17984,848.76,0.5616,0.5785,"positive"
387.1799,899.1,1.7212,0.0951,"positive"
387.1799,917.76,-0.8905,0.3833,"positive"
387.18024,940.5,2.2649,0.0314,"positive"
